raw,iso8601,orders
2012-05-01 13:29:54,2012-05-01T13:29:54,ymd_HMS
2012-05-01,2012-05-01,ymd
2012-05-01 13:29,2012-05-01T13:29,ymd_HM
2012-05-01 13,2012-05-01T13,ymd_H
05-01-2012,2012-05-01,mdy
05-01-2012 13:29:54,2012-05-01T13:29:54,mdy_HMS
01-05-2012 13:29:54,2012-05-01T13:29:54,dmy_HMS
1-5-12 13:29:54,2012-05-01T13:29:54,dmy_HMS
1-5-12,2012-05-01,dmy
1-05-12 13:29:54,2012-05-01T13:29:54,dmy_HMS
2012/05/01 13:29:54,2012-05-01T13:29:54,ymd_HMS
2012/05/01,2012-05-01,ymd
2012/05/01 13:29,2012-05-01T13:29,ymd_HM
2012/05/01 13,2012-05-01T13,ymd_H
05/01/2012 13:29:54,2012-05-01T13:29:54,mdy_HMS
01/05/2012 13:29:54,2012-05-01T13:29:54,dmy_HMS
1/5/12 13:29:54,2012-05-01T13:29:54,dmy_HMS
1/05/12 13:29:54,2012-05-01T13:29:54,dmy_HMS
20120501 132954,2012-05-01T13:29:54,ymd_HMS
20120501,2012-05-01,ymd
20120501 1329,2012-05-01T13:29,ymd_HM
20120501 13,2012-05-01T13,ymd_H
05012012 13:29:54,2012-05-01T13:29:54,mdy_HMS
01052012 13:29:54,2012-05-01T13:29:54,dmy_HMS
1/5/12 13,2012-05-01T13,dmy_H
05/01/2012 13,2012-05-01T13,mdy_H
05-01-2012 13:29,2012-05-01T13:29,mdy_HM
05/01/2012 13:29,2012-05-01T13:29,mdy_HM
01/05/2012 13:29,2012-05-01T13:39,dmy_HM

